country,vaccine,doses
Bangladesh,Pfizer/BioNTech,"100,620"
Bangladesh,Covishield,"9,100,000"
Bangladesh,Sinopharm,"5,100,000"
Barbados,AstraZeneca,"67,200"
Barbados,Covishield,"100,000"
Barbados,Sinopharm,"30,000"
Belarus,Sputnik V,"100,000"
Belarus,Sinopharm,"410,000"
Belarus,Unknown,"1,870,101"
Belgium,AstraZeneca,"2,176,300"
Belgium,Janssen,"590,800"
Belgium,Moderna,"1,309,400"
Belgium,Pfizer/BioNTech,"9,217,455"
Belgium,Unknown,"1,693,175"
Belize,AstraZeneca,"100,800"
Belize,Covaxin,"25,000"
Belize,Sinopharm,"10,000"
Belize,Unknown,"151,813"
Benin,Janssen,"302,400"
Benin,Covishield,"114,000"
Benin,Sinovac,"303,000"
Bermuda,AstraZeneca,"9,600"
Bermuda,Unknown,"82,976"
Bhutan,AstraZeneca,"432,500"
Bhutan,Moderna,"500,000"
Bhutan,Pfizer/BioNTech,"5,850"
Bhutan,Covishield,"550,000"
Bhutan,Sinopharm,"50,000"
Bolivia,Sputnik V,"1,670,000"
Bolivia,Janssen,"3,016,000"
Bolivia,Pfizer/BioNTech,"193,050"
Bolivia,Covishield,"228,000"
Bolivia,Sinopharm,"4,396,400"
Bosnia and Herzegovina,AstraZeneca,"108,000"
Bosnia and Herzegovina,Sputnik V,"30,000"
Bosnia and Herzegovina,Pfizer/BioNTech,"124,020"
Bosnia and Herzegovina,Sinopharm,"50,000"
Bosnia and Herzegovina,Sinovac,"40,000"
Bosnia and Herzegovina,Unknown,"491,641"
Botswana,AstraZeneca,"100,800"
Botswana,Covaxin,"30,000"
Botswana,Pfizer/BioNTech,"19,890"
Botswana,Sinovac,"200,000"
Botswana,Unknown,"140,626"
Brazil,AstraZeneca,"71,066,900"
Brazil,Janssen,"4,801,550"
Brazil,Pfizer/BioNTech,"15,424,110"
Brazil,Covishield,"4,000,000"
Brazil,Sinovac,"72,230,328"
British Virgin Islands,Unknown,"27,883"
Brunei Darussalam,AstraZeneca,"100,800"
Brunei Darussalam,Moderna,"50,400"
Brunei Darussalam,Sinopharm,"52,000"
Brunei Darussalam,Unknown,"85,877"
Bulgaria,AstraZeneca,"1,183,200"
Bulgaria,Janssen,"231,700"
Bulgaria,Moderna,"488,400"
Bulgaria,Pfizer/BioNTech,"2,838,420"
Burkina Faso,AstraZeneca,"115,200"
Burkina Faso,Janssen,"302,400"
Cabo Verde,AstraZeneca,"31,200"
Cabo Verde,Pfizer/BioNTech,"5,850"
Cabo Verde,Covishield,"24,000"
Cabo Verde,Unknown,"361,260"
Cambodia,AstraZeneca,"1,007,500"
Cambodia,Janssen,"1,060,100"
Cambodia,Covishield,"324,000"
Cambodia,Sinopharm,"3,203,000"
Cambodia,Sinovac,"4,500,000"
Cambodia,Unknown,"4,854,403"
Cameroon,Janssen,"303,050"
Cameroon,Covishield,"391,200"
Cameroon,Sinopharm,"200,000"
Canada,AstraZeneca,"3,034,760"
Canada,Janssen,"300,000"
Canada,Moderna,"17,094,910"
Canada,Pfizer/BioNTech,"38,809,590"
Canada,Covishield,"500,000"
Cayman Islands,Unknown,"98,419"
Central African Republic,AstraZeneca,"53,760"
Central African Republic,Janssen,"302,400"
Central African Republic,Covishield,"80,000"
Chad,Pfizer/BioNTech,"100,620"
Chad,Sinopharm,"200,000"
Chile,AstraZeneca,"693,600"
Chile,CanSino,"575,908"
Chile,Pfizer/BioNTech,"272,000"
Chile,Sinovac,"17,643,463"
Chile,Unknown,"6,993,462"
China,Unknown,"1,782,525,000"
Hong Kong,Pfizer/BioNTech,"860,000"
Hong Kong,Unknown,"5,320,091"
Macao,Sinopharm,"100,000"
Macao,Unknown,"426,406"
Colombia,AstraZeneca,"2,474,400"
Colombia,Janssen,"2,980,000"
Colombia,Moderna,"3,500,000"
Colombia,Pfizer/BioNTech,"10,047,580"
Colombia,Sinovac,"7,972,200"
Colombia,Unknown,"6,546,618"
Comoros,Covishield,0
Comoros,Unknown,"162,450"
Congo (DRC),Covishield,"321,000"
Congo (DRC),Unknown,"36,170"
CookIslands,Unknown,"20,509"
Costa Rica,AstraZeneca,"540,000"
Costa Rica,Pfizer/BioNTech,"3,057,815"
Cote d'Ivoire,AstraZeneca,"268,800"
Cote d'Ivoire,Pfizer/BioNTech,"100,620"
Cote d'Ivoire,Covishield,"654,000"
Croatia,AstraZeneca,"1,105,300"
Croatia,Janssen,"112,750"
Croatia,Moderna,"591,600"
Croatia,Pfizer/BioNTech,"2,446,470"
Cuba,Unknown,"10,786,497"
Cyprus,AstraZeneca,"398,700"
Cyprus,Janssen,"37,500"
Cyprus,Moderna,"108,000"
Cyprus,Pfizer/BioNTech,"797,289"
Cyprus,Sinovac,"216,000"
Czechia,AstraZeneca,"848,100"
Czechia,Janssen,"216,450"
Czechia,Moderna,"901,300"
Czechia,Pfizer/BioNTech,"8,740,220"
Denmark,AstraZeneca,"202,920"
Denmark,Janssen,"42,300"
Denmark,Moderna,"1,093,090"
Denmark,Pfizer/BioNTech,"7,124,130"
Djibouti,Janssen,"151,200"
Djibouti,Covishield,"24,000"
Djibouti,Sinopharm,"200,000"
Djibouti,Sinovac,"100,000"
Dominica,AstraZeneca,"8,500"
Dominica,Covishield,"70,000"
Dominican Republic,AstraZeneca,"753,400"
Dominican Republic,Pfizer/BioNTech,"790,430"
Dominican Republic,Covishield,"50,000"
Dominican Republic,Sinopharm,"50,000"
Dominican Republic,Sinovac,"7,268,000"
Dominican Republic,Unknown,"1,807,311"
Ecuador,AstraZeneca,"1,072,000"
Ecuador,Pfizer/BioNTech,"3,413,310"
Ecuador,Sinovac,"2,520,000"
Ecuador,Unknown,"7,013,389"
Egypt,AstraZeneca,"2,623,200"
Egypt,Sputnik V,"210,000"
Egypt,Covishield,"50,000"
Egypt,Sinopharm,"2,150,000"
Egypt,Sinovac,"2,000,000"
El Salvador,AstraZeneca,"429,600"
El Salvador,Moderna,"3,000,200"
El Salvador,Pfizer/BioNTech,"442,260"
El Salvador,Covishield,"20,000"
El Salvador,Sinovac,"2,650,000"
Equatorial Guinea,Sinopharm,"300,000"
Equatorial Guinea,Unknown,"14,289"
Estonia,AstraZeneca,"348,000"
Estonia,Janssen,"46,000"
Estonia,Moderna,"160,800"
Estonia,Pfizer/BioNTech,"886,860"
Eswatini,AstraZeneca,"14,400"
Eswatini,Janssen,"302,400"
Eswatini,Covishield,"44,000"
Ethiopia,AstraZeneca,"391,200"
Ethiopia,Janssen,"1,664,150"
Ethiopia,Covishield,"2,184,000"
Ethiopia,Sinopharm,"300,000"
Fiji,AstraZeneca,"634,200"
Fiji,Moderna,"150,080"
Finland,AstraZeneca,"631,200"
Finland,Janssen,"68,400"
Finland,Moderna,"776,400"
Finland,Pfizer/BioNTech,"4,947,345"
France,AstraZeneca,"10,355,500"
France,Janssen,"2,695,800"
France,Moderna,"9,257,200"
France,Pfizer/BioNTech,"59,609,160"
French Polynesia,Unknown,"161,482"
Gabon,Sinopharm,"100,000"
Gabon,Unknown,"3,820"
Gambia,Janssen,"302,400"
Gambia,Covishield,"36,000"
Gambia,Sinopharm,"10,000"
Georgia,AstraZeneca,"279,600"
Georgia,Sputnik V,"6,500"
Georgia,Pfizer/BioNTech,"558,420"
Georgia,Sinopharm,"600,000"
Georgia,Sinovac,"1,100,000"
Germany,AstraZeneca,"17,433,730"
Germany,Janssen,"4,045,955"
Germany,Moderna,"11,865,280"
Germany,Pfizer/BioNTech,"76,265,265"
Ghana,Sputnik V,"21,000"
Ghana,Covishield,"1,167,000"
Ghana,Unknown,"1,033,393"
Gibraltar,Unknown,"78,459"
Greece,Unknown,"10,807,733"
Greenland,Unknown,"64,591"
Grenada,AstraZeneca,"45,600"
Guatemala,AstraZeneca,"926,400"
Guatemala,Sputnik V,"350,000"
Guatemala,Moderna,"4,500,000"
Guatemala,Pfizer/BioNTech,"363,870"
Guatemala,Covishield,"200,000"
Guinea,Sputnik V,"40,000"
Guinea,Covishield,"194,400"
Guinea,Sinopharm,"400,000"
Guinea,Sinovac,"300,000"
Guinea-Bissau,Janssen,"302,400"
Guinea-Bissau,Covishield,"40,800"
Guinea-Bissau,Unknown,"24,000"
Guyana,AstraZeneca,"62,400"
Guyana,Sputnik V,"305,536"
Guyana,Covishield,"83,000"
Guyana,Sinopharm,"20,000"
Haiti,Moderna,"500,000"
Honduras,AstraZeneca,"445,100"
Honduras,Sputnik V,"6,000"
Honduras,Moderna,"3,000,100"
Honduras,Pfizer/BioNTech,"327,600"
Hong Kong SAR and Macao,Pfizer/BioNTech,"300,000"
Hungary,AstraZeneca,"2,783,500"
Hungary,Sputnik V,"1,100,000"
Hungary,Janssen,"550,800"
Hungary,Moderna,"1,200,000"
Hungary,Pfizer/BioNTech,"7,393,230"
Hungary,Sinopharm,"1,700,000"
Iceland,AstraZeneca,"100,880"
Iceland,Janssen,"57,500"
Iceland,Moderna,"43,220"
Iceland,Pfizer/BioNTech,"300,860"
India,Covaxin,"1,650,000"
India,Sputnik V,"3,360,000"
India,Covishield,"153,440,000"
India,Unknown,"360,214,759"
Indonesia,AstraZeneca,"14,906,200"
Indonesia,Moderna,"8,000,160"
Indonesia,Sinopharm,"5,482,400"
Indonesia,Sinovac,"118,280,000"
Iran,AstraZeneca,"5,064,610"
Iran,Covaxin,"125,000"
Iran,Sputnik V,"200,000"
Iran,Sinopharm,"650,000"
Iran,Unknown,"10,326,404"
Iraq,AstraZeneca,"1,084,800"
Iraq,Pfizer/BioNTech,"550,000"
Iraq,Sinopharm,"750,000"
Ireland,AstraZeneca,"1,442,700"
Ireland,Janssen,"281,500"
Ireland,Moderna,"607,200"
Ireland,Pfizer/BioNTech,"4,396,080"
Israel,Moderna,"120,000"
Israel,Pfizer/BioNTech,"8,000,000"
Israel,Unknown,"3,582,556"
Italy,AstraZeneca,"10,128,802"
Italy,Janssen,"2,264,639"
Italy,Moderna,"7,703,421"
Italy,Pfizer/BioNTech,"51,708,460"
Jamaica,AstraZeneca,"189,800"
Jamaica,Covishield,"125,000"
Jamaica,Unknown,"179,960"
Japan,Pfizer/BioNTech,"7,501,340"
Japan,Unknown,"92,149,752"
Jordan,AstraZeneca,"436,800"
Jordan,Pfizer/BioNTech,"1,540,950"
Jordan,Sinopharm,"150,000"
Jordan,Unknown,"3,615,074"
Kazakhstan,Sputnik V,"22,000"
Kazakhstan,Sinovac,"500,000"
Kazakhstan,Unknown,"9,561,693"
Kenya,AstraZeneca,"541,100"
Kenya,Covishield,"1,192,000"
Kiribati,AstraZeneca,"48,000"
Kosovo,AstraZeneca,"100,800"
Kosovo,Pfizer/BioNTech,"100,620"
Kuwait,Pfizer/BioNTech,"185,100"
Kuwait,Covishield,"588,000"
Kuwait,Unknown,"1,637,455"
Kyrgyzstan,AstraZeneca,"226,560"
Kyrgyzstan,Sputnik V,"120,000"
Kyrgyzstan,Sinopharm,"150,000"
Kyrgyzstan,Unknown,"225,332"
Lao,Janssen,"1,008,000"
Lao,Pfizer/BioNTech,"100,620"
Lao,Covishield,"132,000"
Lao,Sinopharm,"1,602,000"
Latvia,AstraZeneca,"447,800"
Latvia,Janssen,"110,200"
Latvia,Moderna,"315,600"
Latvia,Pfizer/BioNTech,"1,091,415"
Lebanon,AstraZeneca,"292,800"
Lebanon,Sputnik V,"50,000"
Lebanon,Pfizer/BioNTech,"588,510"
Lebanon,Sinopharm,"50,000"
Lebanon,Unknown,"1,542,842"
Lesotho,AstraZeneca,"36,000"
Lesotho,Janssen,"302,400"
Lesotho,Covishield,"36,000"
Liberia,Janssen,"302,400"
Liberia,Covishield,"123,000"
Libya,AstraZeneca,"175,200"
Libya,Sputnik V,"302,500"
Libya,Pfizer/BioNTech,"54,990"
Libya,Sinovac,"150,000"
Libya,Unknown,"284,917"
Liechtenstein,Moderna,"33,700"
Liechtenstein,Pfizer/BioNTech,"14,040"
Lithuania,AstraZeneca,"1,039,430"
Lithuania,Janssen,"174,349"
Lithuania,Moderna,"453,952"
Lithuania,Pfizer/BioNTech,"3,459,540"
Luxembourg,AstraZeneca,"177,800"
Luxembourg,Janssen,"41,850"
Luxembourg,Moderna,"80,400"
Luxembourg,Pfizer/BioNTech,"550,800"
Madagascar,Janssen,"302,750"
Madagascar,Covishield,"250,000"
Malawi,AstraZeneca,"192,000"
Malawi,Janssen,"304,350"
Malawi,Covishield,"426,000"
Malawi,Unknown,"366,077"
Malaysia,AstraZeneca,"828,000"
Malaysia,Pfizer/BioNTech,"1,000,000"
Malaysia,Sinovac,"12,000,000"
Malaysia,Unknown,"11,542,437"
Maldives,Pfizer/BioNTech,"5,850"
Maldives,Covishield,"212,000"
Maldives,Sinopharm,"200,000"
Maldives,Unknown,"204,808"
Mali,Janssen,"151,200"
Mali,Covishield,"296,000"
Malta,Unknown,"774,250"
Mauritania,AstraZeneca,"105,600"
Mauritania,Janssen,"302,400"
Mauritania,Pfizer/BioNTech,"5,000"
Mauritania,Covishield,"69,600"
Mauritania,Sinopharm,"50,000"
Mauritius,AstraZeneca,"100,800"
Mauritius,Covaxin,"200,000"
Mauritius,Sputnik V,"60,000"
Mauritius,Covishield,"200,000"
Mauritius,Sinopharm,"100,000"
Mauritius,Unknown,"677,673"
Mexico,AstraZeneca,"26,169,800"
Mexico,CanSino,"8,100,000"
Mexico,Sputnik V,"4,400,000"
Mexico,Janssen,"1,350,000"
Mexico,Pfizer/BioNTech,"21,120,450"
Mexico,Covishield,"870,000"
Mexico,Sinovac,"15,000,000"
Monaco,Unknown,"44,060"
Mongolia,AstraZeneca,"112,800"
Mongolia,Sputnik V,"40,000"
Mongolia,Pfizer/BioNTech,"126,360"
Mongolia,Covishield,"150,000"
Mongolia,Sinopharm,"2,300,000"
Mongolia,Unknown,"1,710,827"
Montenegro,AstraZeneca,"48,000"
Montenegro,Sputnik V,"2,000"
Montenegro,Sinopharm,"30,000"
Montenegro,Unknown,"314,493"
Montserrat,Unknown,"2,791"
Morocco,AstraZeneca,"957,600"
Morocco,Janssen,"302,400"
Morocco,Covishield,"7,000,000"
Morocco,Sinopharm,"4,500,000"
Morocco,Unknown,"14,166,395"
Mozambique,AstraZeneca,"108,000"
Mozambique,Janssen,"302,400"
Mozambique,Covishield,"484,000"
Mozambique,Sinopharm,"260,000"
Mozambique,Unknown,"50,000"
Myanmar,Covaxin,"200,000"
Myanmar,Covishield,"3,500,000"
Myanmar,Sinopharm,"1,236,000"
Namibia,AstraZeneca,"67,200"
Namibia,Covishield,"30,000"
Namibia,Sinopharm,"250,000"
Namibia,Sinovac,"100,000"
Nauru,AstraZeneca,"7,200"
Nauru,Covishield,"10,000"
Nepal,Janssen,"1,534,850"
Nepal,Covishield,"2,448,000"
Nepal,Sinopharm,"1,600,000"
Netherlands,AstraZeneca,"3,802,600"
Netherlands,Janssen,"1,432,800"
Netherlands,Moderna,"2,304,000"
Netherlands,Pfizer/BioNTech,"15,192,450"
New Caledonia,Unknown,"130,078"
New Zealand,Pfizer/BioNTech,"620,620"
New Zealand,Unknown,"1,501,024"
Nicaragua,AstraZeneca,"134,400"
Nicaragua,Covishield,"335,000"
Nicaragua,Unknown,"215,640"
Niger,Janssen,"302,400"
Niger,Covishield,"380,200"
Niger,Sinopharm,"400,000"
Nigeria,Moderna,"4,000,080"
Nigeria,Covishield,"4,324,000"
Niue,Unknown,"1,216"
North Macedonia,AstraZeneca,"62,400"
North Macedonia,Sputnik V,"39,000"
North Macedonia,Pfizer/BioNTech,"115,830"
North Macedonia,Sinopharm,"200,000"
North Macedonia,Sinovac,"530,000"
North Macedonia,Unknown,"148,393"
Norway,AstraZeneca,"345,600"
Norway,Janssen,"403,900"
Norway,Moderna,"632,400"
Norway,Pfizer/BioNTech,"3,933,540"
Norway,Unknown,"308,509"
Oman,AstraZeneca,"132,000"
Oman,Pfizer/BioNTech,"355,560"
Oman,Covishield,"100,000"
Oman,Unknown,"1,534,821"
Pakistan,AstraZeneca,"2,474,400"
Pakistan,CanSino,"390,000"
Pakistan,Sputnik V,"50,000"
Pakistan,Moderna,"5,500,060"
Pakistan,Pfizer/BioNTech,"100,620"
Pakistan,Sinopharm,"5,000,000"
Pakistan,Sinovac,"10,050,000"
Pakistan,Unknown,"16,434,646"
Panama,AstraZeneca,"518,400"
Panama,Sputnik V,"40,950"
Panama,Pfizer/BioNTech,"2,118,688"
Panama,Unknown,"625,953"
Papua New Guinea,AstraZeneca,"164,880"
Papua New Guinea,Janssen,"302,400"
Papua New Guinea,Covishield,"132,000"
Paraguay,AstraZeneca,"558,240"
Paraguay,Sputnik V,"204,000"
Paraguay,Sinovac,"20,000"
Paraguay,Unknown,"1,899,997"
Peru,AstraZeneca,"888,960"
Peru,Pfizer/BioNTech,"7,232,290"
Peru,Sinopharm,"2,694,000"
Peru,Unknown,"5,523,507"
Philippines,AstraZeneca,"6,858,900"
Philippines,Sputnik V,"350,000"
Philippines,Janssen,"3,240,850"
Philippines,Moderna,"3,500,460"
Philippines,Pfizer/BioNTech,"3,410,550"
Philippines,Sinovac,"16,500,000"
Poland,AstraZeneca,"8,541,700"
Poland,Janssen,"2,161,300"
Poland,Moderna,"4,655,200"
Poland,Pfizer/BioNTech,"33,414,030"
Portugal,AstraZeneca,"2,929,400"
Portugal,Janssen,"943,400"
Portugal,Moderna,"1,365,600"
Portugal,Pfizer/BioNTech,"8,776,170"
Qatar,AstraZeneca,"74,400"
Qatar,Unknown,"3,951,518"
Republic of Korea,AstraZeneca,"1,267,200"
Republic of Korea,Janssen,"1,013,000"
Republic of Korea,Moderna,"451,000"
Republic of Korea,Pfizer/BioNTech,"3,390,180"
Republic of Korea,Unknown,"21,587,266"
Republic of Korea,Vaxzevria,"1,500,000"
Republic of Moldova,AstraZeneca,"381,600"
Republic of Moldova,Sputnik V,"101,000"
Republic of Moldova,Janssen,"302,400"
Republic of Moldova,Pfizer/BioNTech,"125,190"
Republic of Moldova,Unknown,"569,059"
Romania,AstraZeneca,"2,968,400"
Romania,Janssen,"1,086,100"
Romania,Moderna,"1,348,200"
Romania,Pfizer/BioNTech,"10,271,550"
Russia,Unknown,"66,245,526"
Rwanda,AstraZeneca,"117,600"
Rwanda,Pfizer/BioNTech,"203,580"
Rwanda,Covishield,"420,000"
Saint Helena,Unknown,"7,892"
Saint Kitts and Nevis,AstraZeneca,"21,600"
Saint Kitts and Nevis,Covishield,"20,000"
Saint Kitts and Nevis,Unknown,"23,873"
Saint Lucia,AstraZeneca,"50,400"
Saint Lucia,Covishield,"25,000"
Saint Vincent and the Grenadines,AstraZeneca,"45,600"
Saint Vincent and the Grenadines,Covishield,"40,000"
Samoa,AstraZeneca,"52,800"
Samoa,Unknown,"92,415"
San Marino,Sputnik V,"7,500"
San Marino,Unknown,"38,440"
Sao Tome and Principe,AstraZeneca,"24,000"
Sao Tome and Principe,Covishield,"24,000"
Sao Tome and Principe,Unknown,"27,956"
Saudi Arabia,AstraZeneca,"892,800"
Saudi Arabia,Pfizer/BioNTech,"279,630"
Saudi Arabia,Covishield,"3,000,000"
Saudi Arabia,Unknown,"26,951,707"
Senegal,AstraZeneca,"184,800"
Senegal,Janssen,"302,400"
Senegal,Covishield,"349,000"
Senegal,Sinopharm,"500,000"
Serbia,AstraZeneca,"177,600"
Serbia,Pfizer/BioNTech,"132,210"
Serbia,Sinopharm,"1,646,000"
Serbia,Unknown,"3,831,073"
Seychelles,Covishield,"50,000"
Seychelles,Sinopharm,"50,000"
Seychelles,Unknown,"41,435"
Sierra Leone,Covishield,"96,000"
Sierra Leone,Sinopharm,"200,000"
Singapore,Sinovac,"200,000"
Singapore,Unknown,"7,842,596"
Slovakia,AstraZeneca,"982,800"
Slovakia,Sputnik V,"400,000"
Slovakia,Janssen,"137,075"
Slovakia,Moderna,"501,600"
Slovakia,Pfizer/BioNTech,"3,091,140"
Slovenia,AstraZeneca,"900,000"
Slovenia,Janssen,"120,000"
Slovenia,Moderna,"258,000"
Slovenia,Pfizer/BioNTech,"1,517,490"
Solomon Islands,AstraZeneca,"28,800"
Solomon Islands,Covishield,"24,000"
Solomon Islands,Sinopharm,"50,000"
Somalia,AstraZeneca,"108,000"
Somalia,Janssen,"302,400"
Somalia,Covishield,"300,000"
Somalia,Sinopharm,"200,000"
South Africa,Janssen,"80,000"
South Africa,Pfizer/BioNTech,"7,378,020"
South Africa,Covishield,"1,000,000"
South Africa,Unknown,"7,196,864"
South Sudan,Covishield,"119,000"
Spain,AstraZeneca,"10,386,700"
Spain,Janssen,"2,290,200"
Spain,Moderna,"6,651,600"
Spain,Pfizer/BioNTech,"41,098,895"
Sri Lanka,AstraZeneca,"728,460"
Sri Lanka,Sputnik V,"130,000"
Sri Lanka,Moderna,"1,500,100"
Sri Lanka,Pfizer/BioNTech,"285,400"
Sri Lanka,Covishield,"1,264,000"
Sri Lanka,Sinopharm,"5,100,000"
Sri Lanka,Unknown,"5,749,738"
Sudan,Janssen,"606,700"
Sudan,Covishield,"828,000"
Sudan,Sinopharm,"250,000"
Suriname,AstraZeneca,"52,800"
Suriname,Covishield,"51,000"
Suriname,Unknown,"210,398"
Sweden,AstraZeneca,"1,613,700"
Sweden,Moderna,"1,359,600"
Sweden,Pfizer/BioNTech,"8,749,065"
Switzerland,Unknown,"9,086,296"
Syrian Arab Republic,Sputnik V,"5,000"
Syrian Arab Republic,Covishield,"256,800"
Syrian Arab Republic,Sinopharm,"150,000"
Taiwan,AstraZeneca,"3,949,600"
Taiwan,Moderna,"3,650,000"
Taiwan,Unknown,"887,797"
Taiwan,Vaxzevria,"1,302,500"
Tajikistan,AstraZeneca,"128,640"
Tajikistan,Moderna,"1,500,100"
Tajikistan,Covishield,"192,000"
Thailand,AstraZeneca,"1,917,000"
Thailand,Sinopharm,"3,000,000"
Thailand,Sinovac,"4,500,000"
Thailand,Unknown,"10,215,537"
The republic of the Congo,Sinopharm,"100,000"
The republic of the Congo,Unknown,"98,698"
Timor-Leste,AstraZeneca,"144,800"
Timor-Leste,Sinovac,"100,000"
Timor-Leste,Unknown,"258,962"
Togo,Pfizer/BioNTech,"100,620"
Togo,Covishield,"326,000"
Togo,Sinovac,"200,000"
Tonga,AstraZeneca,"48,000"
Trinidad and Tobago,AstraZeneca,"67,200"
Trinidad and Tobago,Pfizer/BioNTech,480
Trinidad and Tobago,Covishield,"40,000"
Trinidad and Tobago,Sinopharm,"1,100,000"
Trinidad and Tobago,Vaxzevria,"35,000"
Tunisia,AstraZeneca,"580,800"
Tunisia,Sputnik V,"30,000"
Tunisia,Moderna,"1,000,020"
Tunisia,Pfizer/BioNTech,"1,037,538"
Tunisia,Sinovac,"150,000"
Tunisia,Unknown,"1,099,046"
Turkey,Pfizer/BioNTech,"4,500,000"
,Sinovac,"25,000,000"
,Unknown,"46,529,390"
Turkmenistan,Unknown,"41,993"
Turks and Caicos Islands,Unknown,"47,263"
Tuvalu,AstraZeneca,"9,600"
Uganda,AstraZeneca,"461,280"
Uganda,Covishield,"964,000"
Ukraine,AstraZeneca,"1,180,800"
Ukraine,Janssen,500
Ukraine,Moderna,"2,000,040"
Ukraine,Pfizer/BioNTech,"1,348,390"
Ukraine,Covishield,"500,000"
Ukraine,Sinovac,"2,400,000"
United Arab Emirates,Covishield,"200,000"
,Sinopharm,"3,000,000"
,Unknown,"13,913,003"
United Kingdom,Pfizer/BioNTech,"1,539,370"
,Covishield,"5,000,000"
,Unknown,"80,466,264"
United Republic of Tanzania,Janssen,"1,058,450"
United States of America,Janssen,"21,484,400"
United States of America,Moderna,"164,633,380"
United States of America,Pfizer/BioNTech,"212,952,975"
Uruguay,AstraZeneca,"98,400"
Uruguay,Pfizer/BioNTech,"550,000"
Uruguay,Sinovac,"1,750,000"
Uruguay,Unknown,"2,582,131"
Uzbekistan,Anhui ZL,"4,500,000"
Uzbekistan,Sputnik V,"330,000"
Uzbekistan,Moderna,"3,000,060"
Uzbekistan,Covishield,"660,000"
Uzbekistan,Vaxzevria,"50,000"
Vanuatu,AstraZeneca,"24,000"
Venezuela,Sputnik V,"880,000"
Venezuela,Sinopharm,"500,000"
Venezuela,Unknown,"2,620,000"
Viet Nam,AstraZeneca,"10,311,500"
Viet Nam,Sputnik V,"2,000"
Viet Nam,Moderna,"5,000,100"
Viet Nam,Pfizer/BioNTech,"97,111"
Viet Nam,Sinopharm,"500,000"
Wallis and Futuna,Unknown,"9,372"
West Band and Gaza,AstraZeneca,"168,000"
West Band and Gaza,Sputnik V,"22,000"
West Band and Gaza,Moderna,"2,000"
West Band and Gaza,Pfizer/BioNTech,"140,400"
West Band and Gaza,Covishield,"25,000"
West Band and Gaza,Sinopharm,"100,000"
West Band and Gaza,Unknown,"877,500"
Yemen,Covishield,"360,000"
Zambia,AstraZeneca,"228,000"
Zimbabwe,Janssen,"302,400"
Zimbabwe,Covishield,"228,000"
Zimbabwe,Sputnik V,"50,000"
Zimbabwe,Covishield,"35,000"
Zimbabwe,Sinopharm,"1,044,000"
Zimbabwe,Sinovac,"4,200,000"
