"","Prevalence.Estimate.Name","URL","Country.or.Area","Serosurvey.sample.size","Test.positive.size","Last.collection.day","Test.type","type_no","X","Denominator.Value","Serum.positive.prevalence","Sampling.End.Date","Test.Manufacturer"
"17","200819_Canada_CBS_BloodDonors_Overall_Adjusted","https://www.covid19immunitytaskforce.ca/wp-content/uploads/2020/09/COVID-19-Public-Report_2.pdf","Canada",37737,275,"20.6.18.","Abbott Laboratories ; IgG ; CMIA",8,NA,37737,"0.70%","2020년 6월 18일","Abbott Laboratories"
"18","","","",NA,NA,"","",NA,NA,NA,"","",""
"19","","","",NA,NA,"","",NA,NA,NA,"","",""
"20","","","",NA,NA,"","",NA,NA,NA,"","",""
"21","210125_Canada_UniversityofToronto_Phase1_Overall_Popdj_sp","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659","Canada",7068,120,"20.06.15.","ELISA",NA,NA,7068,"1.70%","2020년 6월 15일",NA
"22","210125_Canada_UniversityofToronto_Phase2_Overall_PopAdj","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3752659","Canada",1899,48,"20.09.15.","ELISA",NA,NA,1899,"1.87%","2020년 9월 15일",NA
"23","210201_Canada_UniversityofOttawa_Overall_adj","http://dx.doi.org/10.1111/trf.16296","Canada",74642,552,"20.07.21.","Abbott Laboratories ; IgG ; CMIA",8,NA,74642,"0.70%","2020년 7월 21일","Abbott Laboratories"
"24","","","",NA,NA,"","",NA,NA,NA,"","",""
"25","","","",NA,NA,"","",NA,NA,NA,"","",""
"26","","","",NA,NA,"","",NA,NA,NA,"","",""
"27","200605_China_NationalClinicalResearchCentre_CommunitySetting","https://www.nature.com/articles/s41591-020-0949-6","China",10449,81,"20.04.10.","",NA,NA,10449,"0.80%","2020년 4월 10일","Bioscience Diagnostics"
"28","","","",NA,NA,"","",NA,NA,NA,"","",""
"29","210206_China_ChineseCenterforDiseaseControlandPrevention_Overall","https://dx.doi.org/10.1016/j.lanwpc.2021.100094","China",34857,427,"20.04.18.","",NA,NA,34857,"1.23%","2020년 4월 18일","Guangzhou Wondfo Biotech Co., Ltd,Innovita Biological Technology Co. Ltd,Bioscience Diagnostics,NA"
"30","","","",NA,NA,"","",NA,NA,NA,"","",""
"31","210620_Croatia_CroatianInstituteOfPublicHealth_FirstWave_Overall","https://dx.doi.org/10.3390/pathogens10060774","Croatia",1088,24,"20.07.15.","",10,NA,1088,"2.20%","2020년 7월 15일","Vircell S.L.,NA"
"32","210620_Croatia_CroatianInstituteOfPublicHealth_SecondWave_Overall","https://dx.doi.org/10.3390/pathogens10060774","Croatia",1436,260,"21.02.14.","",10,NA,1436,"25.10%","2021년 2월 14일","Vircell S.L.,NA"
"33","200625_Denmark_GeneralPopTestAdj","https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa849/5862661","Denmark",20640,412,"20.5.3.","Livzon ; IgM/IgG ; lateral flow",1,NA,20640,"1.90%","2020년 5월 3일","Zhuhai Livzon Diagnostics Inc"
"34","201026_Denmark_CopenhagenUniversityHospitalRigshospitalet_Active_adj","https://dx.doi.org/10.1093/cid/ciaa1627","Denmark",1110,33,"20.6.19.","Wantai ; IgTotal ; ELISA",12,NA,1110,"2.50%","2020년 6월 26일","Beijing Wantai Biological"
"35","210409_Denmark_StatensSerumInstitut_May_TestAdj","https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1","Denmark",2512,NA,"20.05.15.","",12,NA,2512,"1.1%","2020년 5월 15일","Beijing Wantai Biological"
"36","210409_Denmark_StatensSerumInstitut_August_TestAdj","https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1","Denmark",11478,NA,"20.08.28.","",12,NA,11478,"2.00%","2020년 8월 28일","Beijing Wantai Biological"
"37","210409_Denmark_StatensSerumInstitut_October_TestAdj","https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1","Denmark",9654,NA,"20.11.30.","",12,NA,9654,"2.2%","2020년 11월 30일","Beijing Wantai Biological"
"38","210409_Denmark_StatensSerumInstitut_December_TestAdj","https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1","Denmark",4044,NA,"20.12.31.","",12,NA,4044,"4.0%","2020년 12월 31일","Beijing Wantai Biological"
"39","","","",NA,NA,"","",NA,NA,NA,"","",""
"40","210510_Denmark_CopenhagenUniversityHospital_BloodDonorsOverall","https://doi.org/10.1101/2021.05.07.21256725","Denmark",22677,NA,"21.01.31.","",12,NA,22677,"5.80%","2021년 1월 31일","Beijing Wantai Biological"
"41","201202_DominicanRepublic_UniversidadIberoamericana_genpop_IgG","https://dx.doi.org/10.4269/ajtmh.20-0907","Dominican Republic",12897,704,"20.6.30.","GenBody ; IgG ; chromatographic test targeting S1",NA,NA,12897,"5.50%","2020년 6월 15일","GenBody Inc."
"42","200923_Ecuador_UniversidadCatólicaDelEcuador_Patients","https://www.researchgate.net/publication/344477310_SEROPREVALENCE_OF_ANTI-SARS-COV-2_IGG_ANTIBODIES_IN_ECUADORIAN_POPULATION","Ecuador",11540,2193,"20.07.20.","NovaLisa® ; IgG",39,NA,11540,"19.00%","2020년 7월 20일","NovaTec Immundiagnostics GmbH"
"43","","","",NA,NA,"","",NA,NA,NA,"","",""
"44","210226_Estonia_UniversityofTartu_primary","https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire","Estonia",2626,316,"21.02.22.","",NA,NA,2626,"11.49%","2021년 2월 22일","Synlab"
"45","210323_Estonia_UniversityOfTartu_overall","https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire","Estonia",2382,534,"21.03.22.","",NA,NA,2382,"21.41%","2021년 3월 22일","Synlab"
"46","210420_Estonia_UniversityOfTartu_overall","https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire","Estonia",2491,1057,"21.04.19.","",NA,NA,2491,"35.87%","2021년 4월 19일","Synlab"
"47","210527_Estonia_UniversityOfTartu_overall","https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire","Estonia",2290,1369,"21.05.24.","",NA,NA,2290,"49.52%","2021년 5월 24일","Synlab"
"48","210622_Estonia_UniversityOfTartu_june","https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire","Estonia",2330,1900,"21.06.21.","",NA,NA,2330,"67.90%","2021년 6월 21일","Synlab"
"49","200715_France_UnitedesVirusEmergents_BloodDonors","https://reader.elsevier.com/reader/sd/pii/S0166354220302941?token=72010A825B9F560E0F15AF8D56563D596F45421D41A05764732590DB465F0C2C839E77D689CCDEDEFB85BA331FE13C72","France",998,27,"20.4.7.","In-house ; neutralization assay",NA,NA,998,"2.71%","2020년 4월 7일",NA
"50","200918_France_ParisUniversity_Overall","https://www.medrxiv.org/content/10.1101/2020.09.16.20195693v1","France",14628,983,"20.6.23.","Euroimmun ; IgG ; ELISA-S",5,NA,14628,"6.72%","2020년 6월 23일","EUROIMMUN AG"
"51","","","",NA,NA,"","",NA,NA,NA,"","",""
"52","210115_France_InstitutNationaldelaStatistiqueetdesÉtudesÉconomiques_Overall","https://drees.solidarites-sante.gouv.fr/sites/default/files/2021-01/er1167-en.pdf","France",12114,785,"20.06.02.","",5,NA,12114,"4.50%","2020년 6월 2일","EUROIMMUN AG"
"53","201126_Germany_RobertKochInstitute_BloodDonors_TestAdj","https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/SeBluCo_Zwischenbericht.html;jsessionid=0C30892A66A0F7CDD897F3809AA3F10F.internet102","Germany",48976,872,"20.11.5.","Euroimmun ; IgG ; ELISA-S",5,NA,48976,"1.35%","2020년 11월 5일",NA
"54","201204_Germany_SaarlandUniversity_overall","https://dx.doi.org/10.1016/j.cmi.2020.11.033","Germany",1157,28,"20.5.15.","Euroimmun ; IgG ; ELISA-S",5,NA,1007,"2.09%","2020년 6월 30일","EUROIMMUN AG,NA,Roche Diagnostics"
"55","","","Germany",1157,20,"20.5.15.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,NA,"","",""
"56","","","Germany",1007,31,"20.6.30.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"57","","","Germany",1007,18,"20.6.30.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,NA,"","",""
"58","201127_Germany_IfoInstitue_overall_PopAdj","https://www.ifo.de/en/publikationen/2020/monograph-authorship/die-deutschen-und-corona","Germany",9929,107,"20.11.18.","",19,NA,9929,"1.10%","2020년 11월 18일","Roche Diagnostics"
"59","","","",NA,NA,"","",NA,NA,NA,"","",""
"60","210625_Germany_RobertKochInstitute_overall","https://www.medrxiv.org/content/10.1101/2021.06.21.21259001v1.full-text","Germany",15122,288,"21.02.15.","",NA,NA,15122,"1.30%","2021년 2월 15일","EUROIMMUN AG"
"61","","","",NA,NA,"","",NA,NA,NA,"","",""
"62","","","",NA,NA,"","",NA,NA,NA,"","",""
"63","","","",NA,NA,"","",NA,NA,NA,"","",""
"64","","","",NA,NA,"","",NA,NA,NA,"","",""
"65","210513_Greece_UniversityThessaly_TestPopAdj","https://dx.doi.org/10.3390/vaccines9050504","Greece",5718,25,"20.05.31.","",8,NA,20110,"0.19%","2020년 8월 31일","Abbott Laboratories"
"66","","","",6135,23,"20.06.30.","",8,NA,NA,"","",""
"67","","","",5959,29,"20.07.31.","",8,NA,NA,"","",""
"68","","","",2298,12,"20.08.31.","",8,NA,NA,"","",""
"69","201217_Honduras_ColegioMédico_OverallGenpop","https://revistas.ucr.ac.cr/index.php/psm/article/view/43261/46175","Honduras",792,49,"20.06.23.","",NA,NA,792,"6.20%","2020년 6월 23일",NA
"70","200717_Hungary_SemmelweisUniversity__GenPop_PopAdj","https://dx.doi.org/10.1007/s11357-020-00226-9","Hungary",10474,69,"20.05.16.","",8,NA,10474,"0.68%","2020년 5월 16일","Abbott Laboratories"
"71","200901_Iceland_deCODEGenetics_OverallPopAdj","http://dx.doi.org/10.1056/NEJMoa2026116","Iceland",18609,56,"20.6.12.","pan-Ig anti-N",20,NA,23452,"0.30%","2020년 6월 12일","Roche Diagnostics,Beijing Wantai Biological"
"72","","","Iceland",18609,102,"20.6.12.","pan-Ig anti-S1-RBD",21,NA,NA,"","",""
"73","","","Iceland",18609,39,"20.6.12.","Both pan-Ig antibody",22,NA,NA,"","",""
"74","","","Iceland",18609,119,"20.6.12.","Either pan-Ig antibody",23,NA,NA,"","",""
"75","","","",NA,NA,"","",NA,NA,NA,"","",""
"76","","","",NA,NA,"","",NA,NA,NA,"","",""
"77","200917_India_MinistryofHealth&FamilyWelfare_OverallPopTestAdj","http://dx.doi.org/10.4103/ijmr.IJMR_3290_20","India",28000,157,"20.6.4.","Kavach Anti-SARS-CoV-2 ; IgG",24,NA,28000,"0.73%","2020년 6월 4일","Zydus Diagnostics,EUROIMMUN AG"
"78","210127_India_ICRM_overall_adj","https://dx.doi.org/10.1016/S2214-109X(20)30544-1","India",29082,3135,"20.09.20.","",8,NA,29082,"6.60%","2020년 9월 20일","Abbott Laboratories"
"79","210205_India_ICRM_overall","https://www.bbc.com/news/world-asia-india-55945382","India",28589,NA,"21.01.08.","",NA,NA,28589,"21.50%","2021년 1월 8일",NA
"80","210411_India_BanarasHinduUniversity_Overall","https://www.medrxiv.org/content/10.1101/2021.02.05.21251118v2","India",2301,703,"20.12.15.","",NA,NA,2301,"30.55%","2020년 12월 15일","Biosense Technologies, India"
"81","210330_India_IndianCouncilOfMedicalResearch_GenPop_TestPopAdj","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3810375, http://dx.doi.org/10.1016/j.ijid.2021.05.040","India",28598,7436,"21.01.06.","",NA,NA,28598,"24.10%","2021년 1월 6일","Siemens,Abbott Laboratories"
"82","210324_India_UniversityofToronto_genpop_overall_unadj","10.1101/2021.03.19.21253429","India",448518,140631,"20.12.31.","",NA,NA,448518,"31.00%","2020년 12월 31일","Abbott Laboratories,Roche Diagnostics"
"83","210721_India_IndianCouncilOfMedicalResearch_genpop_overall","https://www.hindustantimes.com/india-news/antibodies-in-68-indians-101626804217418.html","India",28975,NA,"21.07.10.","",NA,NA,28975,"67.60%","2021년 7월 10일",NA
"84","201215_Iran_TehranUniversityofMedicalSciences_GenPop1_overall_PopTestAdj","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6","Iran (Islamic Republic of)",3530,494,"20.6.2.","Pishtaz Teb SARS-CoV-2 ELISA",25,NA,3530,"17.10%","2020년 6월 2일","Pishtaz Diagnostics Iran"
"85","201215_Iran_TehranUniversityofMedicalSciences_HighRisk2_overall_PopTestAdj","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6","Iran (Islamic Republic of)",5372,819,"20.6.2.","Pishtaz Teb SARS-CoV-2 ELISA",25,NA,5372,"20.00%","2020년 6월 2일","Pishtaz Diagnostics Iran"
"86","210420_Iran_TehranUniversityOfMedicalSciences","https://dx.doi.org/10.1136/postgradmedj-2021-140176","Iran (Islamic Republic of)",1243,222,"20.10.15.","",25,NA,1243,"17.90%","2020년 10월 15일","Pishtaz Diagnostics Iran"
"87","210607_Iran_TehranUniversityofMedicalSciences_Primary","http://dx.doi.org/10.1016/j.cmi.2021.06.002","Iran (Islamic Republic of)",11256,1303,"20.10.31.","",25,NA,11256,"14.20%","2020년 10월 31일","Pishtaz Diagnostics Iran"
"88","","","",NA,NA,"","",NA,NA,NA,"","",""
"89","200817_Ireland_HPSC_genpop_popadj","https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/scopi/SCOPI%20report%20preliminary%20results%20final%20version.pdf","Ireland",1733,29,"20.7.16.","Abbott Laboratories ; IgG ; CMIA",8,NA,1733,"1.70%","2020년 7월 16일","Abbott Laboratories,Fortress Diagnostics"
"90","","","",NA,NA,"","",NA,NA,NA,"","",""
"91","","","",NA,NA,"","",NA,NA,NA,"","",""
"92","","","",NA,NA,"","",NA,NA,NA,"","",""
"93","200803_Italy_InstitutoNazionaleDiStatistica_overall","https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf, http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4998","Italy",64660,1567,"20.07.15.","Abbott Laboratories ; IgG ; CMIA",8,NA,64660,"2.50%","2020년 7월 15일",NA
"94","210120_Japan_ResearchInstituteOfTuberculosis_GenPop","https://dx.doi.org/10.3201/eid2702.204088","Japan",7950,23,"20.6.7.","Abbott Laboratories ; IgG ; CMIA",8,NA,7950,"0.10%","2020년 6월 7일","Roche Diagnostics"
"95","","","",7950,23,"20.6.7.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,NA,"","",""
"96","","","",NA,NA,"","",NA,NA,NA,"","",""
"97","210416_Jordan_KingHusseinCancerCenter_Grp3_January_TestAdj","http://dx.doi.org/10.1016/j.ijid.2021.04.059","Jordan",292,80,"21.02.05.","",19,NA,292,"27.30%","2021년 2월 5일","Roche Diagnostics"
"98","210416_Jordan_KingHusseinCancerCenter_Grp2_September","http://dx.doi.org/10.1016/j.ijid.2021.04.059","Jordan",348,0,"20.09.15.","",19,NA,348,"0.00%","2020년 9월 15일","Roche Diagnostics"
"99","210416_Jordan_KingHusseinCancerCenter_Grp1_June","http://dx.doi.org/10.1016/j.ijid.2021.04.059","Jordan",736,0,"20.06.15.","",19,NA,736,"0.00%","2020년 6월 15일","Roche Diagnostics"
"100","210710_Jordan_WorldHealthOrganization_August2020_","http://dx.doi.org/10.1016/j.onehlt.2021.100292","Jordan",4704,13,"20.08.31.","",12,NA,4704,"0.30%","2020년 8월 31일","Beijing Wantai Biological"
"101","210710_Jordan_WorldHealthOrganization_October2020","http://dx.doi.org/10.1016/j.onehlt.2021.100292","Jordan",5470,348,"20.10.31.","",12,NA,5044,"34.20%","2020년 10월 31일","Beijing Wantai Biological"
"102","210710_Jordan_WorldHealthOrganization_January2021","http://dx.doi.org/10.1016/j.onehlt.2021.100292","Jordan",5044,1723,"21.01.31.","",12,NA,5470,"7.00%","2020년 10월 31일","Beijing Wantai Biological"
"103","210625_Kenya_KEMRI-WellcomeTrustResearchProgramme_overall_adj","https://dx.doi.org/10.1038/s41467-021-24062-3","Kenya",9922,928,"20.09.30.","",NA,NA,9922,"7.90%","2020년 9월 30일",NA
"104","210707_Kenya_KEMRI-WellcomeTrustResearchProgramme_PopAdjTestAdj","10.1101/2021.07.06.21260038","Kenya",3018,1333,"21.03.15.","",NA,NA,3018,"48.50%","2021년 3월 15일",NA
"105","","","",NA,NA,"","",NA,NA,NA,"","",""
"106","","","",NA,NA,"","",NA,NA,NA,"","",""
"107","201209_Liechtenstein_KantonsspitalGraubunden_Overall","https://dx.doi.org/10.3390/jcm9123989","Liechtenstein",1159,90,"20.10.06.","",NA,NA,1159,"7.80%","2020년 10월 6일","Roche Diagnostics,NA"
"108","210118_Lithuania_210118_Lithuania_LithuanianUniversityofHealthSciences_TestAdj","https://www.journals.vu.lt/AML/article/view/22344","Lithuania",3087,58,"20.9.11.","",NA,NA,3089,"1.40%","2020년 9월 10일","AMEDA Labordiagnostik GmbH"
"109","200518_Luxembourg_LuxembourgInstituteofHealth_GenPop_IgGPopAdj","https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1","Luxembourg",1807,35,"20.5.5.","Euroimmun ; IgG ; ELISA-S ; border->positive",6,NA,1820,"2.09%","2020년 5월 5일","EUROIMMUN AG"
"110","","","",NA,NA,"","",NA,NA,NA,"","",""
"111","210404_Nepal_GovernmentOfNepal_overall_PopAdj","https://mohp.gov.np/attachments/article/708/First%20Sero-prevalence_final_report_04-04-2021.pdf","Nepal",3040,362,"20.10.22.","",12,NA,3040,"14.40%","2020년 10월 22일","Beijing Wantai Biological"
"112","201112_Netherlands_AmsterdamUMC_GenPop_Overall_1Test","https://www.nature.com/articles/s41467-020-19481-7","Netherlands",7361,248,"20.04.15.","",12,NA,7361,"3.40%","2020년 4월 15일","Beijing Wantai Biological"
"113","201128_Netherlands_CentreforInfectiousDiseaseControl_genpop_overall","https://dx.doi.org/10.1136/jech-2020-215678","Netherlands",2637,NA,"20.05.11.","",NA,NA,2637,"2.80%","2020년 5월 11일",NA
"114","","","",NA,NA,"","",NA,NA,NA,"","",""
"115","210316_Netherlands_SanquinResearch_blooddonors","https://dx.doi.org/10.1016/j.xcrm.2021.100222","Netherlands",7150,419,"20.05.18.","",12,NA,3676,"6.50%","2020년 5월 18일","Beijing Wantai Biological"
"116","","","",NA,NA,"","",NA,NA,NA,"","",""
"117","210419_NewZealand_UniversityOfAuckland_BloodDonors","https://www.medrxiv.org/content/10.1101/2021.04.12.21255282v1","New Zealand",9806,18,"21.01.06.","",NA,NA,9806,"0.10%","2021년 1월 6일","EUROIMMUN AG,GenScript"
"118","210326_Norway_ArcticUniversityOfNorway_PopAdj_TestAdj","https://www.medrxiv.org/content/10.1101/2021.03.23.21253730v1","Norway",27700,234,"21.2.15.","",NA,NA,27700,"0.90%","2021년 2월 15일","EUROIMMUN AG,NA"
"119","","","",NA,NA,"","",NA,NA,NA,"","",""
"120","","","",NA,NA,"","",NA,NA,NA,"","",""
"121","","","",NA,NA,"","",NA,NA,NA,"","",""
"122","210621_Portugal_LosAlamosNationalLaboratory_overall_PopAdj_TestAdj","10.21203/rs.3.rs-603060/v1","Portugal",2435,NA,"21.03.17.","",NA,NA,2435,"17.30%","2021년 3월 17일","Siemens"
"123","","","",NA,NA,"","",NA,NA,NA,"","",""
"124","201124_Qatar_MinistryofPublicHealth_Overall_popadj","https://www.medrxiv.org/content/10.1101/2020.11.24.20237719v1","Qatar",2641,1427,"20.9.9.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,2641,"55.30%","2020년 9월 9일","Roche Diagnostics"
"125","210604_Qatar_CornellUniversity_Overall1","https://dx.doi.org/10.1038/s41598-021-91235-x","Qatar",394,167,"20.09.09.","",19,NA,394,"46.50%","2020년 9월 9일","Shenzhen Mindray Bio-Medical Electronics Co.,Biomerieux,Roche Diagnostics"
"126","200709_Korea_KoreaCentersforDiseaseControlandPrevention_Total","https://www.google.com/url?rct=j&sa=t&url=http://www.koreaherald.com/view.php%3Fud%3D20200709000787&ct=ga&cd=CAAYEDIaOTBkZWE5ODk5NGU5MTg1OTpjb206ZW46VVM&usg=AFQjCNG8AlCeBcx2rR4FfgC726ll5TtgUw","Republic of Korea",3055,NA,"20.07.09.","",NA,NA,3055,"0.03%","2020년 7월 9일",NA
"127","201123_Korea_KoreaDiseaseControlAndPreventionAgency_genpop","https://world.kbs.co.kr/service/news_view.htm?lang=e&Seq_Code=157801","Republic of Korea",1379,3,"20.10.15.","",NA,NA,1379,"0.22%","2020년 10월 15일",NA
"128","210424_SouthKorea_KoreaAssociationofHealthPromotion","https://bmjopen.bmj.com/content/11/4/e049837.abstract","Republic of Korea",4085,16,"20.12.09.","",NA,NA,4085,"0.39%","2020년 12월 9일","Roche Diagnostics"
"129","200611_Russia_NationalCouncilCombatingCoronavirus_GenPop","https://www.themoscowtimes.com/2020/06/10/1-in-7-russians-have-coronavirus-immunity-official-a70540 ; https://www.interfax.ru/russia/712617","Russian Federation",650000,NA,"20.06.10.","",NA,NA,650000,"14.00%","2020년 6월 10일",NA
"130","210328_RussianFederation_StPetersburgPasteurInstitute","https://www.iimmun.ru/iimm/article/view/1684#","Russian Federation",74158,NA,"20.08.15.","",NA,NA,74158,"19.50%","2020년 8월 15일","FBSI State scientific center for applied microbiology and biotechnology"
"131","210116_SaudiArabia_MinistryofHealth_overall","https://dx.doi.org/10.1016/j.ijid.2021.01.028","Saudi Arabia",837,12,"20.05.25.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,837,"1.40%","2020년 5월 25일","Roche Diagnostics"
"132","210131_SaudiArabia_KingAbdullahInternationalMedicalResearchCenter_genpop_overall","https://www.medrxiv.org/content/10.1101/2021.01.28.21250598v1","Saudi Arabia",5395,NA,"20.11.15.","",NA,NA,11275,"8.8%","2020년 11월 15일","EUROIMMUN AG,NA"
"133","210705_SierraLeone_HarvardMedicalSchool_WeightedOverall","https://dx.doi.org/10.1101/2021.06.27.21259271","Sierra Leone",1893,53,"21.03.26.","",NA,NA,1893,"2.60%","2021년 3월 31일","Hangzhou Biotest Biotech Co., Ltd"
"134","210420_Singapore_NationalUniversityOfSingapore_Community_TestAdj","10.21203/rs.3.rs-441527/v1","Singapore",937,2,"20.12.15.","",NA,NA,937,"0.16%","2020년 12월 15일","GenScript"
"135","210407_Slovenia_UniversityofLjubljana_FirstRound_GenPop_ElecsysTestAdj","https://dx.doi.org/10.1016/j.cmi.2021.03.009","Slovenia",1316,NA,"20.05.01.","",19,NA,1316,"0.87%","2020년 5월 1일","Roche Diagnostics"
"136","210407_Slovenia_UniversityofLjubljana_SecondRound_Nov","https://dx.doi.org/10.1016/j.cmi.2021.03.009","Slovenia",1211,NA,"20.11.10.","",19,NA,1211,"4.29%","2020년 11월 10일","Roche Diagnostics"
"137","210312_SouthAfrica_NationalHealthLaboratoryService_overall_Unadj","https://www.nicd.ac.za/wp-content/uploads/2021/03/COVID-19-Special-Public-Health-Surveillance-Bulletin-9-12-March-2021_.pdf","South Africa",927,332,"21.01.31.","",12,NA,927,"35.80%","2021년 1월 31일","Beijing Wantai Biological"
"138","210706_SouthAfrica_SouthAfricanNationalBloodService_Overall_PopAdj","10.21203/rs.3.rs-690372/v1","South Africa",16762,NA,"21.05.15.","",19,NA,16762,"47.40%","2021년 5월 15일","Roche Diagnostics"
"139","210312_Spain_ InstitutoDeSalud CarlosIII_overall_Abbott","https://www.medrxiv.org/content/10.1101/2021.03.11.21253142v1","Spain",5827,321,"20.11.29.","",8,NA,5827,"4.90%","2020년 11월 29일","Abbott Laboratories"
"140","210105_CastillaYLeon_CentroDeHemoterapiaYHemodonación","https://www.medrxiv.org/content/10.1101/2021.04.28.21256242v1","Spain",12719,NA,"20.10.15.","",19,NA,12719,"6.73%","2020년 10월 15일","Roche Diagnostics"
"141","","","",NA,NA,"","",NA,NA,NA,"","",""
"142","","","",NA,NA,"","",NA,NA,NA,"","",""
"143","","","",NA,NA,"","",NA,NA,NA,"","",""
"144","210618_Sweden_PublicHealthAgencyOfSweden","10.1101/2021.06.16.21258960","Sweden",324,28,"20.12.08.","",29,NA,324,"8.60%","2020년 12월 8일",NA
"145","200720_Sweden_TheSwedishPublicHealthAgency_Primary","https://www.folkhalsomyndigheten.se/contentassets/45eafde72689438a8a21efa93a5591a4/forekomsten-antikroppar-mot-sars-cov-2.pdf","Sweden",2860,1038,"21.05.09.","",NA,NA,2860,"32.80%","2021년 5월 9일",NA
"146","200704_Thailand_ChulalongkornUniversity_OverallAdj","https://www.medrxiv.org/content/10.1101/2020.06.24.20139188v3","Thailand",857,2,"20.6.26.","Baiya ; IgG and IgM",30,NA,857,"6.30%","2020년 6월 26일","Baiya Phytopharm"
"147","","","",NA,NA,"","",NA,NA,10318,"7.20%","2020년 6월 28일","EUROIMMUN AG"
"148","","","",NA,NA,"","",NA,NA,7686,"8.30%","2020년 5월 31일","EUROIMMUN AG"
