author,vaccine,dose_number,dose,outcome,country,population,VE ,LCI,UCI,Variant,citation
Amirthalingam,Pfizer,2,final,infection,UK,,92,91,94,,
Amirthalingam,AstraZeneca,1,1,infection,UK,,42,29,53,,
Amirthalingam,AstraZeneca,2,final,infection,UK,,82,68,89,,
Amirthalingam,AstraZeneca,1,1,infection,UK,,52,46,56,,
Amirthalingam,AstraZeneca,2,final,infection,UK,,73,25,90,,
Amirthalingam,AstraZeneca,2,final,infection,UK,,74,69,79,,
Amirthalingam,AstraZeneca,1,1,infection,UK,,42,39,46,,
Amirthalingam,AstraZeneca,2,final,infection,UK,,55,34,69,,
Amirthalingam,AstraZeneca,2,final,infection,UK,,77,74,79,,
Glampson,Pfizer,1,1,infection,UK,,78,73,82,,
Glampson,AstraZeneca,1,1,infection,UK,,74,65,81,,
Pritchard,Pfizer,1,1,infection,UK,,66,60,71,,
Pritchard,Pfizer,2,final,infection,UK,,80,74,85,,
Pritchard,AstraZeneca,1,1,infection,UK,,61,54,68,,
Pritchard,AstraZeneca,2,final,infection,UK,,79,65,88,,
Shrotri,Pfizer,1,1,infection,UK,,65,29,83,,
Shrotri,AstraZeneca,1,1,infection,UK,,68,34,85,,
Butt,Moderna,1,1,infection,USA,,85.7,84.6,86.8,,
Butt,Moderna,2,final,infection,USA,,98.2,97.5,98.6,,
Chemaitelly,Moderna,1,1,infection,Qatar,,88.1,83.7,91.5,,
Chemaitelly,Moderna,2,final,infection,Qatar,,100,91.8,100,,
Chemaitelly,Moderna,1,1,infection,Qatar,,61.3,56.5,65.5,,
Chemaitelly,Moderna,2,final,infection,Qatar,,96.4,91.9,98.7,,
Andrejko,Moderna,2,final,infection,USA,,86.2,68.4,93.9,,
Pawlowski,Moderna,2,final,infection,USA,,92.3,82.4,97.3,,
Pawlowski,Moderna,1,1,infection,USA,,66.6,51.9,77.3,,
Thompson,Moderna,2,final,infection,USA,,82,20,96,,
Berec,Moderna,2,final,infection,Czechia,,90,89,91,,
Berec,Pfizer,2,final,infection,Czechia,,87,86,87,,
Hansen,Moderna,2,final,infection,Denmark,,34.7,-69.9,76.4,,
Hansen,Moderna,2,final,infection,Denmark,,88.2,83.1,91.8,,
Hansen,Pfizer,2,final,infection,Denmark,,55.2,23.5,73.7,,
Hansen,Pfizer,2,final,infection,Denmark,,86.7,84.6,88.6,,
Irizarry,Moderna,2,final,infection,Puertro Rico,,90,88,91,,
Irizarry,Pfizer,2,final,infection,Puertro Rico,,87,85,89,,
Butt1,Moderna,2,final,infection,Qatar ,,87.6,44.1,97.2,,
Butt1,Moderna,1,1,infection,Qatar ,,40.8,0,80.4,,
Bruxvoort2,Moderna,2,final,infection,USA,alpha,98.4,96.9,99.1,,
Bruxvoort2,Moderna,2,final,infection,USA,delta,86.7,84.3,88.7,,
Bruxvoort2,Moderna,2,final,infection,USA,epsilon,97.6,90.2,99.4,,
Bruxvoort2,Moderna,2,final,infection,USA,gamma,95.5,90.9,97.8,,
Bruxvoort2,Moderna,2,final,infection,USA,iota,95.7,81.7,99,,
Bruxvoort2,Moderna,2,final,infection,USA,mu,90.4,73.9,96.5,,
Bruxvoort2,Moderna,2,final,infection,USA,other,96.4,91.2,98.5,,
Bruxvoort2,Moderna,2,final,infection,USA,unidentified,79.9,76.9,82.5,,
Bruxvoort2,Moderna,1,1,infection,USA,alpha,90.1,82.9,94.2,,
Bruxvoort2,Moderna,1,1,infection,USA,delta,77,60.7,86.5,,
Bruxvoort2,Moderna,1,1,infection,USA,epsilon,76.3,48.1,89.1,,
Bruxvoort2,Moderna,1,1,infection,USA,gamma,74.2,43.8,88.1,,
Bruxvoort2,Moderna,1,1,infection,USA,iota,88.8,0.7,98.7,,
Bruxvoort2,Moderna,1,1,infection,USA,mu,45.8,0,88.9,,
Bruxvoort2,Moderna,1,1,infection,USA,other,84.3,65.9,92.7,,
Bruxvoort2,Moderna,1,1,infection,USA,unidentified,67.6,57.1,75.6,,
Bruxvoort1,Moderna,2,final,infection,USA,,87.4,84.8,89.9,,
Chin,Moderna,1,1,infection,USA,,74,64,82,,
Chin,Moderna,2,final,infection,USA,,97,88,99,,
Florea,Moderna,2,final,infection,USA,,82.8,82.2,83.3,,
Nanduri,Moderna,2,final,infection,USA,,74.7,66.2,81.1,,
Nanduri,Moderna,2,final,infection,USA,,70.4,60.1,78,,
Nanduri,Moderna,2,final,infection,USA,,50.6,45,55.7,,
Nanduri,Pfizer,2,final,infection,USA,,74.2,68.9,78.7,,
Nanduri,Pfizer,2,final,infection,USA,,66.5,58.3,73.1,,
Nanduri,Pfizer,2,final,infection,USA,,52.4,48,56.4,,
Roberts,Moderna,2,final,infection,USA,,88.1,85.5,90.2,,
Roberts,Pfizer,2,final,infection,USA,,82.9,80.7,84.9,,
Tseng,Moderna,2,final,infection,USA,,80.2,68.2,87.7,,
Tseng,Moderna,2,final,infection,USA,,44,35.1,51.6,,
Tseng,Moderna,1,1,infection,USA,,56.7,40.7,68.4,,
Tseng,Moderna,1,1,infection,USA,,20.4,9.5,30,,
Bruxvoort1,Moderna,2,final,asymptomatic disease,USA,,72.7,53.4,84,,
Chemaitelly,Moderna,1,1,asymptomatic disease,Qatar,,47.3,37.6,55.5,,
Chemaitelly,Moderna,2,final,asymptomatic disease,Qatar,,92.5,84.8,96.9,,
Emborg,Pfizer,1,1,infection,Denmark,,7,-1,15,,
Emborg,Pfizer,2,final,infection,Denmark,,82,79,84,,
Moustsen-Helms,Pfizer,1,1,infection,Denmark,,21,-11,44,,
Moustsen-Helms,Pfizer,2,final,infection,Denmark,,64,14,84,,
Moustsen-Helms,Pfizer,1,1,infection,Denmark,,17,4,28,,
Moustsen-Helms,Pfizer,2,final,infection,Denmark,,90,82,95,,
Lefèvre,Pfizer,2,final,infection,France,LTCF residents,49,14,69,,
Dagan1,Pfizer,1,1,infection,Israel ,general pop,46,40,51,,
Dagan1,Pfizer,2,final,infection,Israel ,general pop,92,88,95,,
Dagan2,Pfizer,1,1,infection,Israel ,pregnant women,67,40,84,,
Dagan2,Pfizer,2,final,infection,Israel ,pregnant women,96,89,100,,
Dagan2,Pfizer,1,1,infection,Israel ,pregnant women,71,33,94,,
Gazit,Pfizer,2,final,infection,Israel ,,80.3,73.5,85.4,,
Glatman-Freedman,Pfizer,1,1,infection,Israel ,,54.3,50.6,57.8,,
Glatman-Freedman,Pfizer,2,final,infection,Israel ,,89.9,88.6,91.1,,
Glatman-Freedman,Pfizer,2,final,infection,Israel ,,96.8,96.1,97.4,,
Goldberg2,Pfizer,2,final,infection,Israel ,,92.8,92.6,94.2,,
Haas,Pfizer,2,final,infection,Israel ,general pop,95.3,94.9,95.7,,
Haas,Pfizer,2,final,asymptomatic,Israel ,general pop,91.5,90.7,92.2,,
Katz,Pfizer,2,final,infection,Israel ,,94.5,82.6,98.2,,
Layan,Pfizer,2,final,infection,Israel ,general pop,81,60,93,,
Muhsen,Pfizer,2,final,infection,Israel ,,85,81,89,,
Prunas,Pfizer,2,final,infection,Israel ,general pop,80.5,78.9,82.1,,
saciuk,Pfizer,2,final,infection,Israel ,general pop,93,92.6,93.4,,
Fabiani,Pfizer,1,1,infection,Italy,HCW,84,40,96,,
Fabiani,Pfizer,2,final,infection,Italy,HCW,95,62,99,,
Mendola,Pfizer,2,final,infection,Italy,,89,78,95,,
Suah,Pfizer,2,final,infection,Malaysia,,90.8,89.4,92.1,,
Abu-Raddad,Pfizer,2,final,infection,Qatar,general pop,87,82,91,,
Abu-Raddad,Pfizer,2,final,infection,Qatar,general pop,72,66,77,,
Abu-Raddad,Pfizer,1,1,infection,Qatar,general pop,65.5,58.2,71.5,,
Abu-Raddad,Pfizer,2,final,infection,Qatar,general pop,90,86,92,,
Abu-Raddad,Pfizer,2,final,infection,Qatar,general pop,75,71,79,,
Abu-Raddad,Pfizer,1,1,infection,Qatar,general pop,46.5,38.7,53.3,,
Abu-Raddad,Pfizer,1,1,infection,Qatar,general pop,65.5,58.2,71.5,,
Abu-Raddad,Pfizer,1,1,infection,Qatar,general pop,46.5,38.7,53.3,,
Butt,Pfizer,1,1,infection,USA,general pop,84,82.7,85.1,,
Butt,Pfizer,2,final,infection,USA,general pop,96.2,95.5,96.9,,
Chemaitelly,Pfizer,1,1,infection,Qatar,,36.8,33.2,40.2,,
Chemaitelly,Pfizer,2,final,infection,Qatar,,77.5,76.4,78.6,,
Gras-Valenti,Pfizer,1,1,infection,Spain,HCW,53,1,77,,
Bjork,Pfizer,1,1,infection,Sweden,general pop,42,14,63,,
Bjork,Pfizer,2,final,infection,Sweden,general pop,86,72,94,,
Amirthalingam,Pfizer,1,1,infection,UK,>80 years,42,31,52,,
Amirthalingam,Pfizer,2,final,infection,UK,>80 years,77,56,88,,
Amirthalingam,Pfizer,2,1,infection,UK,>80 years,90,83,94,,
Amirthalingam,Pfizer,1,final,infection,UK,65-79 years,53,48,58,,
Amirthalingam,Pfizer,2,final,infection,UK,65-79 years,77,66,85,,
Amirthalingam,Pfizer,2,final,infection,UK,65-79 years,89,86,92,,
Amirthalingam,Pfizer,1,1,infection,UK,50-64 years,51,47,55,,
Amirthalingam,Pfizer,2,final,infection,UK,50-64 years,88,67,96,,
Amirthalingam,Pfizer,2,final,infection,UK,50-64 years,92,91,94,,
Azamgarhi,Pfizer,1,1,infection,UK,HCW,70,6,91,,
Badston,Pfizer,1,1,infection,UK,,52,45,58,,
Badston,Pfizer,2,final,infection,UK,,86,79,91,,
Hall1,Pfizer,1,1,infection,UK,HCW,70,55,85,,https://www.thelancet.com/action/showPdf?pii=S0140-6736%2821%2900790-X
Hall1,Pfizer,2,final,infection,UK,HCW,85,74,96,,https://www.thelancet.com/action/showPdf?pii=S0140-6736%2821%2900790-X
Mason,Pfizer,1,1,infection,UK - England,80-83 years,55,40,66,,
Mason,Pfizer,2,final,infection,UK - England,80-83 years,70,55,80,,
Andrejko,Pfizer,2,final,infection,USA,general pop,87,68.6,94.6,,
Pawlowski,Pfizer,1,1,infection,USA,general pop,61,50.8,69.2,,
Pawlowski,Pfizer,2,final,infection,USA,general pop,88,84.2,91,,
Tartof1,Pfizer,2,final,infection,USA,,85,83,86,,
Thompson,Pfizer,2,final,infection,USA,HCW,93,78,98,,
Regev-Yochay,Pfizer,2,final,asymptomatic,Israel ,HCW,65,45,79,,
Regev-Yochay,Pfizer,2,final,asymptomatic,Israel ,HCW,70,43,84,,
Tande,Pfizer,2,final,asymptomatic,USA,hospital patients,80,56,91,,
Tande,Pfizer,1,1,asymptomatic,USA,hospital patients,79,62,89,,
Angel,Pfizer,2,final,asymptomatic,Israel ,HCW,86,69,97,,
Chemaitelly,Pfizer,1,1,asymptomatic,Qatar,,22.2,12.1,31.2,,
Chemaitelly,Pfizer,2,final,asymptomatic,Qatar,,73.1,70.3,75.5,,
Skowronski2,Pfizer,1,1,infection,Canada,,70,68,72,,
Skowronski2,Moderna,1,1,infection,Canada,,75,71,78,,
Skowronski2,AstraZeneca,1,1,infection,Canada,,60,54,65,,
Skowronski3,Pfizer,2,final,infection,Canada,,89,89,89,,
Skowronski3,Moderna,2,final,infection,Canada,,90,89,90,,
Skowronski3,AstraZeneca,2,final,infection,Canada,,74,72,76,,
Skowronski3,Pfizer,2,final,infection,Canada,,88,87,88,,
Skowronski3,Moderna,2,final,infection,Canada,,89,89,90,,
Skowronski3,AstraZeneca,2,final,infection,Canada,,78,76,80,,
Pouwels,AstraZeneca,1,1,infection,UK,,63,55,69,,
Pouwels,AstraZeneca,1,1,infection,UK,,46,35,55,,
Pouwels,AstraZeneca,2,final,infection,UK,,79,56,90,,
Pouwels,AstraZeneca,2,final,infection,UK,,67,62,71,,
Pouwels,Pfizer,1,1,infection,UK,,59,52,65,,
Pouwels,Pfizer,1,1,infection,UK,,57,50,63,,
Pouwels,Pfizer,2,final,infection,UK,,78,68,84,,
Pouwels,Pfizer,2,final,infection,UK,,80,77,83,,
Ranzani3,AstraZeneca,1,1,asymptomatic,Brazil,,40.7,24.1,53.8,,
Abu-Raddad2,Moderna,1,1,infection,Qatar,,60.3,57,63.3,,
Abu-Raddad2,Moderna,2,final,infection,Qatar,,85.3,83.5,86.9,,
Martínez-Baz,Janssen,1,final,infection,Spain,,50,42,57,,
Martínez-Baz,Moderna,1,1,infection,Spain,,66,56,73,,
Martínez-Baz,Moderna,2,final,infection,Spain,,82,78,86,,
Martínez-Baz,Pfizer,1,1,infection,Spain,,57,52,61,,
Martínez-Baz,Pfizer,2,final,infection,Spain,,69,66,72,,
Martínez-Baz,AstraZeneca,1,1,infection,Spain,,41,34,48,,
Martínez-Baz,AstraZeneca,2,final,infection,Spain,,54,48,60,,
Eyre,Pfizer,2,final,infection,UK,,85,79,89,,
Eyre,AstraZeneca,2,final,infection,UK,,60,41,73,,
Eyre,Pfizer,2,final,infection,UK,,81,77,84,,
Eyre,AstraZeneca,2,final,infection,UK,,58,55,62,,
Petráš,Pfizer,1,1,infection,Czech,,47.7,19.2,66.2,,
Petráš,Pfizer,2,final,infection,Czech,,88.3,83.2,91.8,,
Poukka,Pfizer,1,1,infection,Finland,,21,11,31,,
Poukka,Pfizer,1,1,infection,Finland,,47,38,55,,
Poukka,Pfizer,1,1,infection,Finland,,40,33,46,,
Poukka,Pfizer,2,final,infection,Finland,,71,64,76,,
Poukka,Pfizer,2,final,infection,Finland,,83,80,85,,
Poukka,Pfizer,2,final,infection,Finland,,63,56,69,,
Poukka,Moderna,1,1,infection,Finland,,55,29,72,,
Poukka,Moderna,1,1,infection,Finland,,72,47,85,,
Poukka,Moderna,1,1,infection,Finland,,61,45,72,,
Poukka,Moderna,2,final,infection,Finland,,83,60,93,,
Poukka,Moderna,2,final,infection,Finland,,84,68,92,,
Poukka,Moderna,2,final,infection,Finland,,69,-124,96,,
Hall2,Pfizer,2,final,infection,UK,,81,68,89,,https://www.medrxiv.org/content/10.1101/2021.11.29.21267006v1.full.pdf
Meyer,Pfizer,2,final,infection,Germany,,56,15,77,,https://onlinelibrary.wiley.com/doi/full/10.1111/irv.13051
Alali,Pfizer,1,1,infection,Kuwait,HCW,91.4,65.1,97.9,,
Alali,Pfizer,2,final,infection,Kuwait,HCW,94.5,89.4,97.2,,
Alali,AstraZeneca,1,1,infection,Kuwait,HCW,75.4,67.2,81.6,,
